UVXY,,ProShares Ultra VIX Short-Term Futures*,ETF,20180920,X,X,,,,,,,,
VIXM,,ProShares VIX Mid-Term Futures ETF*,ETF,20180920,X,X,,,,,,,,
VIXY,,ProShares VIX Short-Term Futures ETF*,ETF,20180920,X,X,,,,,,,,
VWO,,Vanguard FTSE Emerging Markets ETF*,ETF,20180920,X,X,,,,,,,,
VXX,,iPATH S&P 500 VIX Short-Term Futures ETN*,ETF,20180920,X,X,,,,,,,,
VXXB,,iPath Series B S&P 500 VIX Short-Term Futures ETN*,ETF,20180920,X,X,,,,,,,,
XBI,,SPDR S&P Biotech ETF*,ETF,20180920,X,X,,,,,,,,
XHB,,SPDR S&P Homebuilders ETF*,ETF,20180920,X,X,,,,,,,,
XLB,,MATERIALS SELECT SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLE,,ENERGY SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLF,,FINANCIAL SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLI,,INDUSTRIAL SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLK,,TECHNOLOGY SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLP,,CONSUMER STAPLES SPDR*,ETF,20180920,X,X,,,,,,,,
XLU,,UTILITIES SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLV,,HEALTH CARE SELECT SECTOR SPDR*,ETF,20180920,X,X,,,,,,,,
XLY,,Consumer Discretionary Select Sector SPDR*,ETF,20180920,X,X,,,,,,,,
XME,,SPDR S&P Metals & Mining ETF*,ETF,20180920,X,X,,,,,,,,
XOP,,SPDR S&P Oil & Gas Exploration & Production ETF*,ETF,20180920,X,X,,,,,,,,
XRT,,SPDR S&P Retail ETF*,ETF,20180920,X,X,,,,,,,,
AA,,Alcoa Corporation*,Equity,20180920,X,X,,,,,,,,
AABA,,Altaba Inc.*,Equity,20180920,X,X,,,,,,,,
AAL,,"American Airlines Group, Inc.*",Equity,20180920,X,X,,,,,,,,
AAOI,,Applied Optoelectronics Inc*,Equity,20180920,X,X,,,,,,,,
AAPL,,Apple Inc*,Equity,20180920,X,X,,,,,,,,
ABBV,,AbbVie Inc.*,Equity,20180920,X,X,,,,,,,,
ABC,,"AMERISOURCEBERGEN, CORP.*",Equity,20180920,X,X,,,,,,,,
ABT,,ABBOTT LABORATORIES*,Equity,20180920,X,X,,,,,,,,
ABX,,BARRICK GOLD CORP*,Equity,20180920,X,X,,,,,,,,
ACAD,,ACADIA Pharmaceuticals Inc.*,Equity,20180920,X,X,,,,,,,,
ACN,,Accenture PLC*,Equity,20180920,X,X,,,,,,,,
ADBE,,ADOBE SYSTEMS INC.*,Equity,20180920,X,X,,,,,,,,
ADI,,ANALOG DEVICES INC*,Equity,20180920,X,X,,,,,,,,
ADM,,ARCHER DANIELS MIDLAND CO*,Equity,20180920,X,X,,,,,,,,
ADP,,AUTOMATIC DATA PROCESSINGINC*,Equity,20180920,X,X,,,,,,,,
ADSK,,AUTODESK INC*,Equity,20180920,X,X,,,,,,,,
AEO,,AMERICAN EAGLE OUTFITTERS*,Equity,20180920,X,X,,,,,,,,
AET,,"Aetna, Inc.*",Equity,20180920,X,X,,,,,,,,
AFL,,AFLAC INC*,Equity,20180920,X,X,,,,,,,,
AG,,First Majestic Silver Corp*,Equity,20180920,X,X,,,,,,,,
AGN,,Allergan plc.*,Equity,20180920,X,X,,,,,,,,
AGNC,,AGNC Investment Corp.*,Equity,20180920,X,X,,,,,,,,
AIG,,AMERICAN INTERNATIONAL GROUP*,Equity,20180920,X,X,,,,,,,,
AKAM,,"AKAMAI TECHNOLOGIES, INC*",Equity,20180920,X,X,,,,,,,,
AKS,,AK STEEL HOLDING CORP.*,Equity,20180920,X,X,,,,,,,,
ALGN,,ALIGN TECHNOLOGY INC.*,Equity,20180920,X,X,,,,,,,,
ALXN,,ALEXION PHARM*,Equity,20180920,X,X,,,,,,,,
AMAT,,"APPLIED MATERIALS, INC.*",Equity,20180920,X,X,,,,,,,,
AMBA,,Ambarella Inc*,Equity,20180920,X,X,,,,,,,,
AMC,,AMC ENTERTAINMENT HOLDINGS INC*,Equity,20180920,X,X,,,,,,,,
AMD,,ADVANCED MICRO-DEVICES*,Equity,20180920,X,X,,,,,,,,
AMGN,,AMGEN*,Equity,20180920,X,X,,,,,,,,
AMLP,,Alerian MLP ETF*,Equity,20180920,X,X,,,,,,,,
AMRN,,Amarin Corp. PLC*,Equity,20180920,X,X,,,,,,,,
AMT,,AMERICAN TOWER CL A*,Equity,20180920,X,X,,,,,,,,
AMTD,,TD AMERITRADE HOLDING CORP*,Equity,20180920,X,X,,,,,,,,
AMZN,,AMAZON COM*,Equity,20180920,X,X,,,,,,,,
ANET,,"ARISTA NETWORKS, INC*",Equity,20180920,X,X,,,,,,,,
ANF,,ABERCROMBIE & FITCH CO*,Equity,20180920,X,X,,,,,,,,
ANTM,,"Anthem, Inc.*",Equity,20180920,X,X,,,,,,,,
AOBC,,American Outdoor Brands Corp.*,Equity,20180920,X,X,,,,,,,,
APA,,APACHE CORP*,Equity,20180920,X,X,,,,,,,,
APC,,ANADARKO PETROLEUM CORPORATION*,Equity,20180920,X,X,,,,,,,,
APO,,APOLLO GLOBAL MANAGEMENT LLC*,Equity,20180920,X,X,,,,,,,,
ARNA,,ARENA PHARMACEUTICALS INC*,Equity,20180920,X,X,,,,,,,,
ATVI,,"Activision Blizzard, Inc.*",Equity,20180920,X,X,,,,,,,,
AUY,,"YAMANA GOLD, INC*",Equity,20180920,X,X,,,,,,,,
AVGO,,Broadcom Limited*,Equity,20180920,X,X,,,,,,,,
AVP,,AVON PRODUCTS*,Equity,20180920,X,X,,,,,,,,
AXP,,AMERICAN EXPRESS*,Equity,20180920,X,X,,,,,,,,
AZN,,ASTRAZENECA PLC*,Equity,20180920,X,X,,,,,,,,
AZO,,AUTOZONE INC.*,Equity,20180920,X,X,,,,,,,,
BA,,BOEING CO*,Equity,20180920,X,X,,,,,,,,
BABA,,Alibaba Group Holding Ltd*,Equity,20180920,X,X,,,,,,,,
BAC,,BANK OF AMERICA CORP.*,Equity,20180920,X,X,,,,,,,,
BAX,,BAXTER INTERNATIONAL INC.*,Equity,20180920,X,X,,,,,,,,
BB,,BlackBerry Limited*,Equity,20180920,X,X,,,,,,,,
BBBY,,BED BATH & BEYOND INC.*,Equity,20180920,X,X,,,,,,,,
BBY,,BEST BUY CO. INC.*,Equity,20180920,X,X,,,,,,,,
BDX,,BECTON DICKINSON & CO*,Equity,20180920,X,X,,,,,,,,
BHC, ,Bausch Health Companies Inc       ,Equity,20180920,X,X,,,,,,,,
BIDU,,Baidu Inc*,Equity,20180920,X,X,,,,,,,,
BIIB,,Biogen Inc.*,Equity,20180920,X,X,,,,,,,,
BK,,The Bank of New York Mellon Corporation*,Equity,20180920,X,X,,,,,,,,
BKNG,,Booking Holdings Inc. *,Equity,20180920,X,X,,,,,,,,
BLK,,"BlackRock, Inc.*",Equity,20180920,X,X,,,,,,,,
BMY,,BRISTOL-MYERS SQUIBB COMPANY*,Equity,20180920,X,X,,,,,,,,
BP,,BP PLC*,Equity,20180920,X,X,,,,,,,,
BRK/B,,Berkshire Hathaway Inc. - Cl B*,Equity,20180920,X,X,,,,,,,,
BSX,,BOSTON SCIENTIFIC CORP*,Equity,20180920,X,X,,,,,,,,
BUD,,Anheuser-Busch InBev*,Equity,20180920,X,X,,,,,,,,
BURL, ,"BURLINGTON STORES, INC*",Equity,20180920,X,X,,,,,,,,
BX,,The Blackstone Group LP*,Equity,20180920,X,X,,,,,,,,
C,,CITIGROUP INC*,Equity,20180920,X,X,,,,,,,,
CAH,,CARDINAL HEALTH INC*,Equity,20180920,X,X,,,,,,,,
CALM,,"Cal-Maine Foods, Inc.*",Equity,20180920,X,X,,,,,,,,
CAT,,CATERPILLAR INC*,Equity,20180920,X,X,,,,,,,,
CBOE,,Cboe Global Markets*,Equity,20180920,X,X,,,,,,,,
CBS,,CBS Corporation CL B*,Equity,20180920,X,X,,,,,,,,
CC,,The Chemours Company*,Equity,20180920,X,X,,,,,,,,
CCJ,,CAMECO CORPORATION*,Equity,20180920,X,X,,,,,,,,
CCL,,CARNIVAL CORPORATION*,Equity,20180920,X,X,,,,,,,,
CELG,,CELGENE CORP.*,Equity,20180920,X,X,,,,,,,,
CF,,CF Industries Holdings Inc*,Equity,20180920,X,X,,,,,,,,
CGC, ,Canopy Growth Corp,Equity,20180920,X,X,,,,,,,,
CHK,,CHESAPEAKE ENERGY CORP.*,Equity,20180920,X,X,,,,,,,,
CHTR,,Charter Communications Inc. Cl A*,Equity,20180920,X,X,,,,,,,,
CI,,Cigna Corporation*,Equity,20180920,X,X,,,,,,,,
CIEN,,Ciena Corp (New)*,Equity,20180920,X,X,,,,,,,,
CL,,COLGATE PALMOLIVE*,Equity,20180920,X,X,,,,,,,,
CLF,,Cleveland-Cliffs Inc.*,Equity,20180920,X,X,,,,,,,,
CLR,,Continental Resources Inc*,Equity,20180920,X,X,,,,,,,,
CLX,,CLOROX CO*,Equity,20180920,X,X,,,,,,,,
CMCSA,,COMCAST CORPORATION CLASS*,Equity,20180920,X,X,,,,,,,,
CME,,CME Group Inc*,Equity,20180920,X,X,,,,,,,,
CMG,,Chipotle Mexican Grill Inc*,Equity,20180920,X,X,,,,,,,,
CMI,,CUMMINS INC.*,Equity,20180920,X,X,,,,,,,,
COF,,CAPITAL ONE FINANCIAL*,Equity,20180920,X,X,,,,,,,,
COG,,CABOT OIL AND GAS CORP*,Equity,20180920,X,X,,,,,,,,
COP,,CONOCOPHILLIPS*,Equity,20180920,X,X,,,,,,,,
COST,,COSTCO COMPANIES*,Equity,20180920,X,X,,,,,,,,
COTY,,Coty Inc*,Equity,20180920,X,X,,,,,,,,
CPB,,CAMPBELL SOUP CO CAPITAL*,Equity,20180920,X,X,,,,,,,,
CREE,,"CREE RESEARCH, INC.*",Equity,20180920,X,X,,,,,,,,
CRM,,SALESFORCE COM INC*,Equity,20180920,X,X,,,,,,,,
CRON, ,Cronos Group Inc*,Equity,20180920,X,X,,,,,,,,
CRSP,,CRISPR Therapeutics AG*,Equity,20180920,X,X,,,,,,,,
CRUS,,"CIRRUS LOGIC, INC.*",Equity,20180920,X,X,,,,,,,,
CSCO,,"CISCO SYSTEMS, INC.*",Equity,20180920,X,X,,,,,,,,
CSIQ,,Canadian Solar Inc*,Equity,20180920,X,X,,,,,,,,
CSX,,CSX CORPORATION*,Equity,20180920,X,X,,,,,,,,
CTL,,CenturyLink Inc.*,Equity,20180920,X,X,,,,,,,,
CTRP,,"CTRIP.COM INTERNATIONAL, LTD ADR*",Equity,20180920,X,X,,,,,,,,
CTSH,,COGNIZANT TECH. SOLUTIONS*,Equity,20180920,X,X,,,,,,,,
CVS,,CVS Health Corporation*,Equity,20180920,X,X,,,,,,,,
CVX,,CHEVRON  CORP*,Equity,20180920,X,X,,,,,,,,
CYBR,,CyberArk Software Ltd/Israel*,Equity,20180920,X,X,,,,,,,,
CYH,,"COMMUNITY HEALTH SYSTEMS, INC.*",Equity,20180920,X,X,,,,,,,,
CZR,,Caesars Entertainment Corporation*,Equity,20180920,X,X,,,,,,,,
DAL,,"Delta Air Lines, Inc.*",Equity,20180920,X,X,,,,,,,,
DATA,,Tableau Software Inc*,Equity,20180920,X,X,,,,,,,,
DB,,DEUTSCHE BANK AG*,Equity,20180920,X,X,,,,,,,,
DBX, ,Dropbox Inc*,Equity,20180920,X,X,,,,,,,,
DDD,,3D Systems Corp*,Equity,20180920,X,X,,,,,,,,
DDS,,DILLARD'S INC*,Equity,20180920,X,X,,,,,,,,
DE,,DEERE & CO*,Equity,20180920,X,X,,,,,,,,
DFS,,Discover Financial Services*,Equity,20180920,X,X,,,,,,,,
DG,,Dollar General Corporation*,Equity,20180920,X,X,,,,,,,,
